time,open,high,low,close,tick_volume,spread,real_volume,MA_5,EMA_8,RSI_6
2025-04-11,3188.993,3245.436,3184.783,3237.519,383307,159,0,,,
2025-04-13,3220.46,3224.786,3213.589,3223.733,19648,159,0,,,
2025-04-14,3223.699,3245.757,3193.552,3212.626,266317,159,0,,,
2025-04-15,3212.601,3251.826,3210.002,3251.78,184875,159,0,,,
2025-04-16,3251.804,3357.738,3251.59,3350.133,295385,159,0,3255.1582000000003,,
2025-04-17,3350.168,3356.316,3283.825,3327.671,308749,159,0,3273.1886,,75.43837123924688
