time,open,high,low,close,tick_volume,spread,real_volume,MA_5,EMA_8,RSI_6
2025-04-14 00:00:00,83706.64,85119.95,83619.03,84310.52,22803,2880,0,,,
2025-04-14 01:00:00,84310.52,84664.07,84036.1,84196.34,21788,2880,0,,,
2025-04-14 02:00:00,84198.15,85526.83,83987.94,85093.22,23128,2880,0,,,
2025-04-14 03:00:00,85091.98,85121.38,84416.93,84544.88,21738,2880,0,,,
2025-04-14 04:00:00,84545.0,85077.66,84378.09,84852.47,22646,2880,0,84599.486,,
2025-04-14 05:00:00,84852.83,84988.87,84299.37,84547.31,21995,2880,0,84646.844,,51.132226853814856
2025-04-14 06:00:00,84547.32,84627.86,84230.97,84596.7,22141,2880,0,84726.916,,52.970402036158056
2025-04-14 07:00:00,84597.25,84771.57,84182.53,84566.06,22216,2880,0,84621.484,84568.21443175567,51.52750789970389
2025-04-14 08:00:00,84566.13,84963.9,84417.03,84764.45,21986,2880,0,84665.398,84611.82233580996,59.99456452367242
2025-04-14 09:00:00,84764.48,84912.22,84219.31,84410.83,22227,2880,0,84577.06999999999,84567.15737229664,43.67610098282429
2025-04-14 10:00:00,84415.33,84806.07,84268.55,84637.8,23194,2880,0,84595.168,84582.8557340085,53.43200991877385
2025-04-14 11:00:00,84637.69,84976.28,84477.48,84935.58,23091,2880,0,84662.94399999999,84661.23890422883,63.41004842100802
2025-04-14 12:00:00,84934.39,85237.15,84745.94,85148.16,23137,2880,0,84779.364,84769.44359217797,69.08470076004858
2025-04-14 13:00:00,85148.13,85295.66,84041.33,84365.14,24309,2880,0,84699.50200000001,84679.59834947175,40.987596035688085
2025-04-14 14:00:00,84365.14,85799.39,84248.45,85431.92,14975,2880,0,84903.72,84846.78093847803,64.5552014330014
2025-04-14 15:00:00,85431.92,85485.98,83688.99,84073.21,24377,2880,0,84790.802,84674.87628548291,40.08676163785928
2025-04-14 16:00:00,84073.21,84665.76,83822.65,84323.38,24263,2880,0,84668.36200000001,84596.76599982004,44.7165375943893
2025-04-14 17:00:00,84325.38,84894.46,84181.17,84850.62,23072,2880,0,84608.854,84653.17799986003,53.754334597816516
2025-04-14 18:00:00,84849.82,85064.45,84673.85,84984.28,21771,2880,0,84732.682,84726.75622211336,55.94529244234759
2025-04-14 19:00:00,84984.28,85207.54,84751.72,84912.32,22031,2880,0,84628.762,84767.99261719928,54.28377845321251
2025-04-14 20:00:00,84912.83,84966.1,84519.3,84835.64,22229,2880,0,84781.24799999999,84783.02536893278,52.297705115006615
2025-04-14 21:00:00,84835.17,84956.83,84421.79,84677.74,20623,2880,0,84852.12,84759.62862028106,47.961596842740754
2025-04-14 22:00:00,84677.51,84723.23,84388.94,84480.07,19447,2880,0,84778.01,84697.50448244083,42.6494420855304
2025-04-14 23:00:00,84479.92,84760.51,84393.35,84572.69,18992,2880,0,84695.69200000001,84669.76793078732,46.01163421121508
2025-04-15 00:00:00,84571.7,84949.74,84314.12,84893.95,21157,2880,0,84692.01800000001,84719.58616839015,56.60154443494568
2025-04-15 01:00:00,84893.95,85130.33,84510.64,84970.94,20764,2880,0,84719.07800000001,84775.44257541455,58.918902000328885
2025-04-15 02:00:00,84974.69,85303.71,84676.89,85209.48,21026,2880,0,84825.426,84871.89533643355,65.72377340094363
2025-04-15 03:00:00,85211.69,85416.32,85040.74,85363.33,21131,2880,0,85002.07800000001,84981.10303944832,69.61871976761458
2025-04-15 04:00:00,85363.27,85533.77,85141.04,85475.04,21591,2880,0,85182.548,85090.8668084598,72.35580442730176
2025-04-15 05:00:00,85475.08,85878.76,85464.35,85535.69,21718,2880,0,85310.896,85189.71640657986,73.88842692332027
2025-04-15 06:00:00,85535.69,85693.46,85324.64,85371.17,21066,2880,0,85390.942,85230.03942733989,62.59248227049106
2025-04-15 07:00:00,85370.71,85778.5,85367.68,85728.83,20530,2880,0,85494.812,85340.88177681992,73.25784190850314
2025-04-15 08:00:00,85729.23,85988.83,85664.88,85855.37,21661,2880,0,85593.22,85455.21249308216,76.14538058560765
2025-04-15 09:00:00,85854.4,86001.92,85600.33,85999.64,21095,2880,0,85698.14,85576.19638350834,79.21577791855421
2025-04-15 10:00:00,85996.15,86023.34,85435.16,85637.96,20311,2880,0,85718.59400000001,85589.92163161762,57.10419587475731
2025-04-15 11:00:00,85637.71,85680.71,85329.96,85581.94,21073,2880,0,85760.748,85588.14793570258,54.28769812193568
2025-04-15 12:00:00,85581.57,85833.1,85431.69,85810.3,21922,2880,0,85777.042,85637.515061102,63.1728964731271
2025-04-15 13:00:00,85810.3,86496.42,85501.04,85585.97,23059,2880,0,85723.16200000001,85626.06060307934,51.39641768456136
2025-04-15 14:00:00,85585.97,85996.69,84825.61,85140.46,24839,2880,0,85551.326,85518.1493579506,35.586709746540976
2025-04-15 15:00:00,85140.49,85400.9,84612.78,84909.68,21913,2880,0,85405.67,85382.9339450727,29.874395601168615
2025-04-15 16:00:00,84909.84,85149.91,84756.72,84844.69,21973,2880,0,85258.22,85263.32417950098,28.337261562024523
2025-04-15 17:00:00,84844.73,85001.44,84389.34,84471.48,20738,2880,0,84990.456,85087.35880627854,20.91976448042189
2025-04-15 18:00:00,84471.44,84596.3,84117.54,84178.0,20983,2880,0,84708.86200000001,84885.27907154997,16.776005020903597
2025-04-15 19:00:00,84178.12,84220.06,83891.9,83963.22,20840,2880,0,84473.414,84680.37705564998,14.29017286108838
2025-04-15 20:00:00,83966.04,84184.44,83759.18,83986.02,21151,2880,0,84288.682,84526.07548772776,15.878042626066673
2025-04-15 21:00:00,83985.61,84226.1,83850.61,84170.82,21769,2880,0,84153.90800000001,84447.12982378826,28.721731263760816
2025-04-15 22:00:00,84170.55,84170.55,83663.08,83820.46,20815,2880,0,84023.704,84307.86986294642,21.317114144754953
2025-04-15 23:00:00,83821.25,83856.19,83589.85,83646.48,20790,2880,0,83917.40000000001,84160.8943378472,18.478395753443607
2025-04-16 00:00:00,83646.2,83701.03,83119.45,83135.63,20960,2880,0,83751.88200000001,83933.0578183256,12.577078252393619
2025-04-16 01:00:00,83135.63,83651.49,83085.62,83619.98,21378,2880,0,83678.674,83863.48496980881,35.876655263709964
2025-04-16 02:00:00,83620.22,83921.62,83561.81,83883.6,22707,2880,0,83621.23000000001,83867.95497651795,45.38369543925499
